"DATE","TIME PERIOD","HICP Inflation rate - Housing, water, electricity, gas and other fuels - Annual rate of change (HICP.M.U2.N.040000.4D0.ANR)"
"1996-12-31","1996Dec"
"1997-01-31","1997Jan","3.6"
"1997-02-28","1997Feb","3.3"
"1997-03-31","1997Mar","3.0"
"1997-04-30","1997Apr","2.8"
"1997-05-31","1997May","2.9"
"1997-06-30","1997Jun","2.9"
"1997-07-31","1997Jul","2.9"
"1997-08-31","1997Aug","3.0"
"1997-09-30","1997Sep","2.2"
"1997-10-31","1997Oct","2.0"
"1997-11-30","1997Nov","2.1"
"1997-12-31","1997Dec","1.8"
"1998-01-31","1998Jan","1.1"
"1998-02-28","1998Feb","1.1"
"1998-03-31","1998Mar","1.2"
"1998-04-30","1998Apr","1.5"
"1998-05-31","1998May","1.3"
"1998-06-30","1998Jun","1.2"
"1998-07-31","1998Jul","1.0"
"1998-08-31","1998Aug","0.7"
"1998-09-30","1998Sep","0.8"
"1998-10-31","1998Oct","0.6"
"1998-11-30","1998Nov","0.4"
"1998-12-31","1998Dec","0.3"
"1999-01-31","1999Jan","0.2"
"1999-02-28","1999Feb","0.1"
"1999-03-31","1999Mar","0.5"
"1999-04-30","1999Apr","1.0"
"1999-05-31","1999May","1.0"
"1999-06-30","1999Jun","1.1"
"1999-07-31","1999Jul","1.5"
"1999-08-31","1999Aug","1.8"
"1999-09-30","1999Sep","2.1"
"1999-10-31","1999Oct","1.7"
"1999-11-30","1999Nov","2.0"
"1999-12-31","1999Dec","2.5"
"2000-01-31","2000Jan","3.1"
"2000-02-29","2000Feb","3.5"
"2000-03-31","2000Mar","3.5"
"2000-04-30","2000Apr","2.7"
"2000-05-31","2000May","3.3"
"2000-06-30","2000Jun","3.4"
"2000-07-31","2000Jul","3.4"
"2000-08-31","2000Aug","3.5"
"2000-09-30","2000Sep","4.7"
"2000-10-31","2000Oct","5.0"
"2000-11-30","2000Nov","5.2"
"2000-12-31","2000Dec","4.5"
"2001-01-31","2001Jan","4.1"
"2001-02-28","2001Feb","4.0"
"2001-03-31","2001Mar","3.6"
"2001-04-30","2001Apr","3.8"
"2001-05-31","2001May","3.5"
"2001-06-30","2001Jun","3.5"
"2001-07-31","2001Jul","3.2"
"2001-08-31","2001Aug","2.9"
"2001-09-30","2001Sep","1.7"
"2001-10-31","2001Oct","1.4"
"2001-11-30","2001Nov","1.0"
"2001-12-31","2001Dec","1.0"
"2002-01-31","2002Jan","1.3"
"2002-02-28","2002Feb","1.2"
"2002-03-31","2002Mar","1.4"
"2002-04-30","2002Apr","1.4"
"2002-05-31","2002May","1.2"
"2002-06-30","2002Jun","0.8"
"2002-07-31","2002Jul","1.0"
"2002-08-31","2002Aug","1.1"
"2002-09-30","2002Sep","1.1"
"2002-10-31","2002Oct","1.6"
"2002-11-30","2002Nov","1.5"
"2002-12-31","2002Dec","1.9"
"2003-01-31","2003Jan","2.5"
"2003-02-28","2003Feb","2.9"
"2003-03-31","2003Mar","3.1"
"2003-04-30","2003Apr","2.3"
"2003-05-31","2003May","2.2"
"2003-06-30","2003Jun","2.4"
"2003-07-31","2003Jul","2.4"
"2003-08-31","2003Aug","2.4"
"2003-09-30","2003Sep","2.3"
"2003-10-31","2003Oct","2.3"
"2003-11-30","2003Nov","2.5"
"2003-12-31","2003Dec","2.2"
"2004-01-31","2004Jan","1.8"
"2004-02-29","2004Feb","1.3"
"2004-03-31","2004Mar","1.2"
"2004-04-30","2004Apr","1.9"
"2004-05-31","2004May","2.3"
"2004-06-30","2004Jun","2.3"
"2004-07-31","2004Jul","2.4"
"2004-08-31","2004Aug","2.7"
"2004-09-30","2004Sep","2.8"
"2004-10-31","2004Oct","3.5"
"2004-11-30","2004Nov","3.5"
"2004-12-31","2004Dec","3.4"
"2005-01-31","2005Jan","3.6"
"2005-02-28","2005Feb","3.9"
"2005-03-31","2005Mar","4.3"
"2005-04-30","2005Apr","4.5"
"2005-05-31","2005May","4.2"
"2005-06-30","2005Jun","4.7"
"2005-07-31","2005Jul","5.0"
"2005-08-31","2005Aug","5.0"
"2005-09-30","2005Sep","5.4"
"2005-10-31","2005Oct","4.9"
"2005-11-30","2005Nov","4.9"
"2005-12-31","2005Dec","5.0"
"2006-01-31","2006Jan","5.4"
"2006-02-28","2006Feb","5.4"
"2006-03-31","2006Mar","5.1"
"2006-04-30","2006Apr","5.3"
"2006-05-31","2006May","5.6"
"2006-06-30","2006Jun","5.1"
"2006-07-31","2006Jul","4.8"
"2006-08-31","2006Aug","4.6"
"2006-09-30","2006Sep","3.9"
"2006-10-31","2006Oct","3.5"
"2006-11-30","2006Nov","3.5"
"2006-12-31","2006Dec","3.6"
"2007-01-31","2007Jan","3.1"
"2007-02-28","2007Feb","3.1"
"2007-03-31","2007Mar","2.9"
"2007-04-30","2007Apr","2.5"
"2007-05-31","2007May","2.2"
"2007-06-30","2007Jun","2.3"
"2007-07-31","2007Jul","2.0"
"2007-08-31","2007Aug","2.0"
"2007-09-30","2007Sep","2.4"
"2007-10-31","2007Oct","2.7"
"2007-11-30","2007Nov","3.6"
"2007-12-31","2007Dec","3.6"
"2008-01-31","2008Jan","3.9"
"2008-02-29","2008Feb","4.0"
"2008-03-31","2008Mar","4.4"
"2008-04-30","2008Apr","4.8"
"2008-05-31","2008May","5.6"
"2008-06-30","2008Jun","6.1"
"2008-07-31","2008Jul","6.7"
"2008-08-31","2008Aug","6.2"
"2008-09-30","2008Sep","6.1"
"2008-10-31","2008Oct","5.8"
"2008-11-30","2008Nov","4.5"
"2008-12-31","2008Dec","3.6"
"2009-01-31","2009Jan","3.1"
"2009-02-28","2009Feb","2.8"
"2009-03-31","2009Mar","1.9"
"2009-04-30","2009Apr","0.8"
"2009-05-31","2009May","-0.2"
"2009-06-30","2009Jun","-0.5"
"2009-07-31","2009Jul","-1.8"
"2009-08-31","2009Aug","-1.2"
"2009-09-30","2009Sep","-1.6"
"2009-10-31","2009Oct","-1.6"
"2009-11-30","2009Nov","-1.0"
"2009-12-31","2009Dec","-0.3"
"2010-01-31","2010Jan","-0.2"
"2010-02-28","2010Feb","-0.2"
"2010-03-31","2010Mar","0.6"
"2010-04-30","2010Apr","1.7"
"2010-05-31","2010May","2.0"
"2010-06-30","2010Jun","1.9"
"2010-07-31","2010Jul","2.8"
"2010-08-31","2010Aug","2.8"
"2010-09-30","2010Sep","3.0"
"2010-10-31","2010Oct","3.2"
"2010-11-30","2010Nov","3.3"
"2010-12-31","2010Dec","3.8"
"2011-01-31","2011Jan","4.5"
"2011-02-28","2011Feb","4.9"
"2011-03-31","2011Mar","5.1"
"2011-04-30","2011Apr","4.9"
"2011-05-31","2011May","4.6"
"2011-06-30","2011Jun","4.7"
"2011-07-31","2011Jul","4.9"
"2011-08-31","2011Aug","4.8"
"2011-09-30","2011Sep","4.9"
"2011-10-31","2011Oct","5.1"
"2011-11-30","2011Nov","5.3"
"2011-12-31","2011Dec","4.8"
"2012-01-31","2012Jan","4.5"
"2012-02-29","2012Feb","4.4"
"2012-03-31","2012Mar","4.0"
"2012-04-30","2012Apr","3.9"
"2012-05-31","2012May","4.0"
"2012-06-30","2012Jun","3.7"
"2012-07-31","2012Jul","3.8"
"2012-08-31","2012Aug","4.1"
"2012-09-30","2012Sep","4.1"
"2012-10-31","2012Oct","4.0"
"2012-11-30","2012Nov","3.6"
"2012-12-31","2012Dec","3.4"
"2013-01-31","2013Jan","3.4"
"2013-02-28","2013Feb","3.2"
"2013-03-31","2013Mar","3.0"
"2013-04-30","2013Apr","2.2"
"2013-05-31","2013May","2.0"
"2013-06-30","2013Jun","2.3"
"2013-07-31","2013Jul","2.0"
"2013-08-31","2013Aug","1.9"
"2013-09-30","2013Sep","1.8"
"2013-10-31","2013Oct","1.3"
"2013-11-30","2013Nov","1.3"
"2013-12-31","2013Dec","1.5"
"2014-01-31","2014Jan","1.1"
"2014-02-28","2014Feb","1.0"
"2014-03-31","2014Mar","1.0"
"2014-04-30","2014Apr","1.2"
"2014-05-31","2014May","1.3"
"2014-06-30","2014Jun","1.2"
"2014-07-31","2014Jul","0.8"
"2014-08-31","2014Aug","0.6"
"2014-09-30","2014Sep","0.6"
"2014-10-31","2014Oct","0.6"
"2014-11-30","2014Nov","0.6"
"2014-12-31","2014Dec","-0.1"
"2015-01-31","2015Jan","-0.7"
"2015-02-28","2015Feb","-0.6"
"2015-03-31","2015Mar","-0.5"
"2015-04-30","2015Apr","-0.6"
"2015-05-31","2015May","-0.5"
"2015-06-30","2015Jun","-0.4"
"2015-07-31","2015Jul","-0.5"
"2015-08-31","2015Aug","-0.9"
"2015-09-30","2015Sep","-1.0"
"2015-10-31","2015Oct","-1.0"
"2015-11-30","2015Nov","-0.9"
"2015-12-31","2015Dec","-0.8"
"2016-01-31","2016Jan","-1.1"
"2016-02-29","2016Feb","-1.6"
"2016-03-31","2016Mar","-1.4"
"2016-04-30","2016Apr","-1.7"
"2016-05-31","2016May","-1.5"
"2016-06-30","2016Jun","-1.2"
"2016-07-31","2016Jul","-1.1"
"2016-08-31","2016Aug","-0.9"
"2016-09-30","2016Sep","-0.6"
"2016-10-31","2016Oct","-0.1"
"2016-11-30","2016Nov","-0.1"
"2016-12-31","2016Dec","0.8"
"2017-01-31","2017Jan","2.0"
"2017-02-28","2017Feb","2.1"
"2017-03-31","2017Mar","1.9"
"2017-04-30","2017Apr","2.4"
"2017-05-31","2017May","2.0"
"2017-06-30","2017Jun","1.6"
"2017-07-31","2017Jul","1.6"
"2017-08-31","2017Aug","1.8"
"2017-09-30","2017Sep","1.7"
"2017-10-31","2017Oct","1.6"
"2017-11-30","2017Nov","1.9"
"2017-12-31","2017Dec","1.5"
"2018-01-31","2018Jan","1.5"
"2018-02-28","2018Feb","1.7"
"2018-03-31","2018Mar","1.6"
"2018-04-30","2018Apr","1.4"
"2018-05-31","2018May","2.0"
"2018-06-30","2018Jun","2.1"
"2018-07-31","2018Jul","2.9"
"2018-08-31","2018Aug","2.9"
"2018-09-30","2018Sep","3.1"
"2018-10-31","2018Oct","3.6"
"2018-11-30","2018Nov","3.5"
"2018-12-31","2018Dec","2.9"
"2019-01-31","2019Jan","2.6"
"2019-02-28","2019Feb","2.6"
"2019-03-31","2019Mar","2.9"
"2019-04-30","2019Apr","2.7"
"2019-05-31","2019May","2.3"
"2019-06-30","2019Jun","2.3"
"2019-07-31","2019Jul","1.5"
"2019-08-31","2019Aug","1.3"
"2019-09-30","2019Sep","1.0"
"2019-10-31","2019Oct","0.4"
"2019-11-30","2019Nov","0.2"
"2019-12-31","2019Dec","0.7"
"2020-01-31","2020Jan","0.6"
"2020-02-29","2020Feb","0.2"
"2020-03-31","2020Mar","-0.3"
"2020-04-30","2020Apr","-1.0"
"2020-05-31","2020May","-1.3"
"2020-06-30","2020Jun","-1.1"
"2020-07-31","2020Jul","-1.2"
"2020-08-31","2020Aug","-1.1"
"2020-09-30","2020Sep","-1.2"
"2020-10-31","2020Oct","-1.1"
"2020-11-30","2020Nov","-1.0"
"2020-12-31","2020Dec","-0.6"
"2021-01-31","2021Jan","0.3"
"2021-02-28","2021Feb","0.6"
"2021-03-31","2021Mar","1.6"
"2021-04-30","2021Apr","3.0"
"2021-05-31","2021May","3.5"
"2021-06-30","2021Jun","3.7"
"2021-07-31","2021Jul","4.7"
"2021-08-31","2021Aug","5.2"
"2021-09-30","2021Sep","5.9"
"2021-10-31","2021Oct","8.0"
"2021-11-30","2021Nov","9.0"
"2021-12-31","2021Dec","9.6"
"2022-01-31","2022Jan","11.8"
"2022-02-28","2022Feb","13.3"
"2022-03-31","2022Mar","17.1"
"2022-04-30","2022Apr","15.7"
"2022-05-31","2022May","16.1"
"2022-06-30","2022Jun","16.8"
"2022-07-31","2022Jul","17.6"
"2022-08-31","2022Aug","19.5"
"2022-09-30","2022Sep","21.0"
"2022-10-31","2022Oct","23.0"
"2022-11-30","2022Nov","20.5"
"2022-12-31","2022Dec","16.2"
"2023-01-31","2023Jan","11.9"
"2023-02-28","2023Feb","10.0"
"2023-03-31","2023Mar","4.6"
"2023-04-30","2023Apr","4.8"
"2023-05-31","2023May","4.1"
"2023-06-30","2023Jun","2.6"
"2023-07-31","2023Jul","0.9"
"2023-08-31","2023Aug","-0.6"
"2023-09-30","2023Sep","-2.3"
"2023-10-31","2023Oct","-6.0"
"2023-11-30","2023Nov","-5.5"
"2023-12-31","2023Dec","-2.7"
"2024-01-31","2024Jan","-1.1"
"2024-02-29","2024Feb","-0.4"
"2024-03-31","2024Mar","0.6"
"2024-04-30","2024Apr","0.8"
"2024-05-31","2024May","1.0"
"2024-06-30","2024Jun","1.7"
"2024-07-31","2024Jul","2.6"
"2024-08-31","2024Aug","2.0"
"2024-09-30","2024Sep","1.8"
"2024-10-31","2024Oct","2.0"
"2024-11-30","2024Nov","2.7"
"2024-12-31","2024Dec","2.9"
"2025-01-31","2025Jan","3.1"
"2025-02-28","2025Feb","2.7"
"2025-03-31","2025Mar","2.8"
"2025-04-30","2025Apr","2.3"
"2025-05-31","2025May","2.2"
"2025-06-30","2025Jun","1.9"
"2025-07-31","2025Jul","1.9"
"2025-08-31","2025Aug","1.7"
"2025-09-30","2025Sep","1.7"
"2025-10-31","2025Oct","1.5"
"2025-11-30","2025Nov","1.5"
"2025-12-31","2025Dec","1.2"
"2026-01-31","2026Jan","0.4"
"2026-02-28","2026Feb","0.7"
"2026-03-31","2026Mar","1.6"
